,date,closing,adjusted,evolution,quantity,volume
492,17/12/2020,277.0,277.0,0.0,0.0,0.0
493,16/12/2020,277.0,277.0,-1.77,718.0,198886.0
494,15/12/2020,282.0,282.0,0.0,25.0,7050.0
495,14/12/2020,282.0,282.0,1.81,6.0,1692.0
496,11/12/2020,277.0,277.0,1.65,1.0,277.0
497,10/12/2020,272.5,272.5,1.98,1.0,272.5
498,09/12/2020,267.2,267.2,0.0,0.0,0.0
499,08/12/2020,267.2,267.2,0.0,0.0,0.0
500,07/12/2020,267.2,267.2,0.0,0.0,0.0
501,04/12/2020,267.2,267.2,1.98,442.0,118102.4
502,03/12/2020,262.0,262.0,0.38,5.0,1310.0
503,02/12/2020,261.0,261.0,0.0,0.0,0.0
504,01/12/2020,261.0,261.0,0.0,100.0,26100.0
505,30/11/2020,261.0,261.0,0.0,0.0,0.0
506,27/11/2020,261.0,261.0,0.0,0.0,0.0
507,26/11/2020,261.0,261.0,0.0,0.0,0.0
508,25/11/2020,261.0,261.0,0.0,0.0,0.0
509,24/11/2020,261.0,261.0,0.0,0.0,0.0
510,23/11/2020,261.0,261.0,0.0,0.0,0.0
511,20/11/2020,261.0,261.0,0.0,0.0,0.0
512,19/11/2020,261.0,261.0,0.0,0.0,0.0
513,17/11/2020,261.0,261.0,0.0,20.0,5220.0
514,16/11/2020,261.0,261.0,-0.08,30.0,7830.0
515,13/11/2020,261.2,261.2,0.0,0.0,0.0
516,12/11/2020,261.2,261.2,-1.99,10.0,2612.0
517,11/11/2020,266.5,266.5,0.0,0.0,0.0
518,10/11/2020,266.5,266.5,0.0,0.0,0.0
519,09/11/2020,266.5,266.5,0.0,0.0,0.0
520,05/11/2020,266.5,266.5,0.0,0.0,0.0
521,04/11/2020,266.5,266.5,0.0,0.0,0.0
522,03/11/2020,266.5,266.5,0.0,0.0,0.0
523,02/11/2020,266.5,266.5,0.0,0.0,0.0
524,28/10/2020,266.5,266.5,0.0,0.0,0.0
525,27/10/2020,266.5,266.5,0.0,0.0,0.0
526,26/10/2020,266.5,266.5,0.0,0.0,0.0
527,23/10/2020,266.5,266.5,0.0,0.0,0.0
528,22/10/2020,266.5,266.5,-1.93,719.0,191613.5
529,21/10/2020,271.75,271.75,0.0,0.0,0.0
530,20/10/2020,271.75,271.75,0.0,0.0,0.0
531,19/10/2020,271.75,271.75,0.0,0.0,0.0
532,16/10/2020,271.75,271.75,0.0,0.0,0.0
533,15/10/2020,271.75,271.75,0.0,0.0,0.0
534,14/10/2020,271.75,271.75,0.0,0.0,0.0
535,13/10/2020,271.75,271.75,0.0,0.0,0.0
536,12/10/2020,271.75,271.75,0.0,0.0,0.0
537,09/10/2020,271.75,271.75,0.0,0.0,0.0
538,08/10/2020,271.75,271.75,0.0,0.0,0.0
539,07/10/2020,271.75,271.75,0.0,0.0,0.0
540,06/10/2020,271.75,271.75,0.0,0.0,0.0
541,05/10/2020,271.75,271.75,0.0,0.0,0.0
542,02/10/2020,271.75,271.75,0.0,0.0,0.0
543,01/10/2020,271.75,271.75,0.0,0.0,0.0
544,30/09/2020,271.75,271.75,0.0,0.0,0.0
545,29/09/2020,271.75,271.75,0.0,0.0,0.0
546,28/09/2020,271.75,271.75,0.0,0.0,0.0
547,25/09/2020,271.75,271.75,0.0,0.0,0.0
548,24/09/2020,271.75,271.75,0.0,0.0,0.0
549,23/09/2020,271.75,271.75,0.0,0.0,0.0
550,22/09/2020,271.75,271.75,0.0,2.0,543.5
551,21/09/2020,271.75,271.75,1.99,2.0,543.5
552,18/09/2020,266.45,266.45,0.0,0.0,0.0
553,17/09/2020,266.45,266.45,1.99,1.0,266.45
554,16/09/2020,261.25,261.25,0.0,0.0,0.0
555,15/09/2020,261.25,261.25,0.0,0.0,0.0
556,14/09/2020,261.25,261.25,0.0,0.0,0.0
557,11/09/2020,261.25,261.25,0.0,0.0,0.0
