,date,closing,adjusted,evolution,quantity,volume
382,26/05/2021,57.9,43.43,1.58,824.0,46178.91
383,25/05/2021,57.0,42.75,-1.71,5769.0,329559.0
384,24/05/2021,57.99,43.5,-0.15,2060.0,117458.6
385,21/05/2021,58.08,43.56,1.43,2471.0,143017.38
386,20/05/2021,57.26,42.95,-2.05,2084.0,120692.38
387,19/05/2021,58.46,43.85,-0.92,162.0,9341.4
388,18/05/2021,59.0,44.25,0.43,896.0,53921.19
389,17/05/2021,62.9,47.18,-0.19,2517.0,158103.9
390,12/05/2021,63.02,47.27,-0.66,9225.0,581800.03
391,11/05/2021,63.44,47.58,0.86,4175.0,264583.52
392,10/05/2021,62.9,47.18,3.51,8453.0,529558.56
393,07/05/2021,60.77,45.58,3.99,2183.0,131414.9
394,06/05/2021,58.44,43.83,-0.6,10020.0,576421.49
395,05/05/2021,58.79,44.1,-1.03,104.0,6181.18
396,04/05/2021,59.4,44.55,-0.17,151.0,8785.3
397,03/05/2021,59.5,44.63,3.16,2751.0,158359.37
398,30/04/2021,57.68,43.26,-0.03,108.0,6197.01
399,29/04/2021,57.7,43.28,-0.52,2267.0,129405.9
400,28/04/2021,58.0,43.5,2.65,11752.0,670334.6
401,27/04/2021,56.5,42.38,0.0,1329.0,75088.5
402,26/04/2021,56.5,42.38,0.0,12832.0,724367.6
403,23/04/2021,56.5,42.38,2.17,6006.0,336196.05
404,22/04/2021,55.3,41.48,-0.72,513.0,28424.35
405,21/04/2021,55.7,41.78,0.18,944.0,52014.42
406,20/04/2021,55.6,41.7,0.18,250.0,13901.5
407,19/04/2021,55.5,41.63,0.0,0.0,0.0
408,16/04/2021,55.5,41.63,0.25,75.0,4165.0
409,15/04/2021,55.36,41.52,-0.68,4786.0,267860.48
410,14/04/2021,55.74,41.81,0.07,395.0,22090.1
411,13/04/2021,55.7,41.78,-0.54,1418.0,79304.78
412,12/04/2021,56.0,42.0,-2.54,532.0,29862.88
413,09/04/2021,57.46,43.1,0.17,2.0,114.92
414,08/04/2021,57.36,43.02,0.63,26.0,1488.86
415,07/04/2021,57.0,42.75,0.0,0.0,0.0
416,06/04/2021,57.0,42.75,1.79,1013.0,57750.1
